content,Date,Time,name,email,number
I was in Guatemala Airport at the beginning of 08/05. The airport from the outside is certainly an interesting '60s building if not well maintained. Arrivals is good the lines are quick but the taxi/bus/hire car/hotel desks are before you leave the building and you have to beg and plead to be allowed back in again (without taking luggage)! Departures are good the lines quick people friendly lots of shops to buy last minute tourist tat duty free and Guatemalan fast food (well worth it when you are flying AA to BOS via MIA without even a chance of buying food!). Overall a reasonable experience for a poor country! I especially liked the No dogs and No guns notices on the entrance doors!,2021-09-10,23:52:50,Ulla-Britt Johansson,adahlberg@holmgren.se,04556806792
US pre-clearance was fast and staff were efficient unlike many other airports I have visited. Terminal 2 looks very modern and although big it is easy to navigate. A large variety of cafes and stores were available and the airport was spotless. I thoroughly enjoyed my visit.,2021-09-19,21:48:02,Maria Karlsson,vblomqvist@yahoo.de,02281755840
Eat before you go to the airport. The food outlets offer items that were packaged during the Reagan administration! Terminal A (Southwest/America West) is extremely narrow! Terminal B (American/Alaska/Delta/United) is quite efficient,2021-09-11,19:45:28,Maria Carlsson,maurice60@yahoo.de,+919216788123
Arrived Terminal 2 at 2.00 am after 3 hours flight delay. When we entered had to wait 1 hr for eye scan then another 40 minutes for immigration. Terminal 2 is small to carry a large number of flights. On the way back again have to face a long check-in line although check-in was quite fast. Inside the departure lounge there are limited number of restaurants but overall is a good experience.,2021-09-30,15:43:18,Marie Hermansson,chiragthakur@bumb.info,0924635754
In August 2013 I transited through T3 Dubai Airport from Johannesburg to the UK and back. My connections were 2hrs on the way their and 4hrs on the way back. Queues at transit security moved quite fast. Used the train from terminal A to B easy to use and very efficient. Airport is very clean well sign aged no problems to get to my departures gates.,2021-09-29,03:42:45,Olaf Zänker,schombergesche@gmx.de,036-336 64 55
I connected for the first time in DTW with NWA. As previously mentioned the McNamara terminal is indeed VERY long. However it does have moving-steps and alas: its own metro system (with red trams like NWA's planes) - with tram stops along the way. Also the terminal is immaculately kept with a clean decor and floor to ceiling windows throughout. Add a wide array of dining and shopping options and you've got an award-winning product. Definitely better than ATL and even better than the pleasant Delta terminal in CVG.,2021-10-09,07:13:03,Lena Karlsson,aina95@googlemail.com,01021 426290
"Visited Cairo for a conference at a glance during arrival the airport seemed ok clean not at all crowded Immigration was a breeze with only 1 counter operating out of about 30 counters toilets were clean and I was out of the airport in about 30 min. The real problem started when I was departing. Be prepared to get tired of hearing the word ""baaksheesh"" which means a tip. Every person you see shall approach you for a tip even if it is their duty. The airport doesn't offer free drinking water facilities you have to buy it. Announcements were excellent and they went the extra mile to announce in the language of the destination for International Flights.",2021-09-13,11:11:16,Sigvard Nilsson,mauderiksson@yahoo.de,00261535826
"Changed planes in DUB a couple days ago. Upon landing it was very interesting to see grazing sheep cows and old farm cottages just beyond the airport perimeter fence instead of ugly industrial parks. T2 looks elegant clean and modern very impressive. Arrived from the US but had to clear immigration and ""enter"" Ireland in order to obtain connecting boarding pass to Dubai which was strange. All the airport staff were polite and courteous (including the local traveling public). The sole exception were the Polish women staffing the Emirates airline check-in counters who were extremely unfriendly and rude. Prices for food at the terminal were extremely high - comparable to Japan - so I did not buy anything. I wonder if main-street prices in Ireland are also this high? All in all transiting through T2 gives a very favourable impression of Ireland to the visitor and inspires one to pay a visit to this country.",2021-09-30,19:40:43,Christian Månsson,peter97@live.se,+49 (0) 5724 677060
Airport is great for tourist travel but poor for business. No fast track through security. Business lounge is small and poorly kept (dirty drinking glasses poor availability of food dirty tables). That's a pity as otherwise airport is great.,2021-09-19,13:42:10,Gunnar Eriksson,brigittedavids@web.de,08-69 50 12
I travel frequently to Copenhagen with two small children to visit family and despite the nice shops and interior this is eaily the worst airport I have ever been to with kids. As the only airport I have ever encountered staff do not allow through security small foldable buggies built for airport travel. They claim the union wont allow staff to carry them down the stairs by the aircraft. Travelling as a single parent with a 10months and two year old trying to manage from check-in to the plane is a true nightmare and staff does not offer any help but feel righteous as they simply follow rules. Dreadful and shameful!,2021-10-07,22:38:06,Dipl.-Ing. Jens-Peter Kambs,margaretahenriksson@googlemail.com,2373411880
A mixed experience. Arrival very easy and quick. Departure rather stressful. Have to fight through crowds lines for check-in passport control rather confusing and disorganized as was security and not convinced how serious it was - there is secondary gate screening which is good. In the main terminal one shared lounge (except for Qatar Airways) as far as I could see and a couple of places to eat.,2021-09-27,22:43:32,Birgitta Larsson,gpeukert@web.de,0583699329
"Cebu Mactan is one of the better airports I have used. The staff are pleasant in all situations that may arise and extremely helpful. I see derogatory comments on here about the cleanliness Cebu airport from English travelers, they should look at their own airports first before commenting, most airports in UK are filthy especially Heathrow. Cebu is one of the most pleasant travel experiences you could wish for after a long haul flight, or of course the beginning of one. I would agree there are a lack of restaurants but this is a comparatively small international airport that is gradually growing. ",2021-09-17,23:00:57,Anvi Hegde,sandstrommarianne@blomqvist.com,+46 (0)660 395 97
Allow an hour to check your car back as the lazy staff are not around to meet you and you get to wander around the spacious hot car park with your keys. On finding them they don't show ID so you could be giving the keys to anyone. The airport's fine small and laid-back. We didn't have time to see Faro thanks to this problem. It wouldn't kill anyone to have a mobile number for the rental car reps,2021-10-05,11:09:21,Annette Rohleder-Austermühle,hugo21@ring.de,+49 (0) 1711 690696
Arrived from Singapore with Qatar Airways and into the new terminal. Seemed to be the only flight around so was quickly through the VOA and immigration but despite the lack of other flights baggage took an eternity to arrive. Departure was an absolute joke. Huge queues to even get into the terminal and the first security check. Then check in. Then another queue for a further security check then departure tax and a final queue for immigration. Limited staff on departure tax and immigration. Then the biggest frustration is that there's almost nothing in the way of facilities or restaurants available. The so called business class lounge was very poor. Quite clearly the airport just isn't finished yet. Why they didn't wait I just don't know. Overall a poor experience and worse than the old airport if I'm honest.,2021-09-21,14:54:08,Jhanvi Contractor,ujohansson@swipnet.se,+46 (0)665 759 93
We just transited through here on our way to Amman and found the experience much less stressful than we had expected. By the time we disembarked from our first flight our next flight was already boarding but the flight attendants assured us it would be fine. The longest part was the bus ride as we flew J class to Doha and then were flying Economy to Amman so the bus first dropped the continuing J class passengers at the Premium Terminal before going to Arrivals and finally to the Transfer terminal. Once inside I was pleasantly surprised. The security check lines were moving very quickly and in about 10 minutes we were at the gate ready to board the bus.,2021-09-30,00:00:05,Andreas Johansson,gardeira@yahoo.com,06670132818
Excellent airport however the government officials such as immigration and customs are very rude. Long queue at the initial baggage screening. No ATM inside terminal.,2021-09-18,21:52:58,Gustav Nilsson,nwarmer@luebs.com,+49(0)8685 871902
Flew out of here to Gatwick. Overall airport is not great and having had to drop our car off early and then a four hour wait meant we ended up using the airport cafe and snack bar. All I can say is what an absolute rip-off - 7 Euros for a coke and a peppermint tea 3.60 Euros for an ice cream lollipop. The food was equally expensive and tasteless. It might be slightly less galling if the surroundings were pleasant but they aren't - no air conditioning and dirty tables. Corfu is a lovely place but the airport really lets it down.,2021-10-09,01:04:33,Prof. Yasmin Franke MBA.,beatewinkler@binner.de,0526693367
"Just flew home to O'Hare yesterday afternoon. The customs experience was fine using the kiosks. But then you must deal with people. A woman shouted at me to go to number 43! I looked at that station and there was a man there with no passengers so I went straight to his booth. He screamed at me ""I did not call you"". I picked up my passport and papers and began to retreat at which point he said ""Come here!"" I told him the woman had directed me to his booth but he said again ""I did not call you!"" He then began to ask me a series of questions in a loud angry tone. Welcome home to Chicago!",2021-09-29,23:15:28,Indranil Boase,stephanie07@hotmail.de,+46 (0)8 271 176 28
Re B Cronin's comments on Calgary Airport Customs staff,2021-09-23,16:50:30,Dipl.-Ing. Louise Adler B.Sc.,saanvibhagat@hotmail.com,05066 067366
Transited BRU earlier this month. Total chaos. Landed from MXP in terminal B long walk to terminal A for connecting flight to PHL. Passport control not bad but as heading up stairs to get to security was faced with a sea of people coming down the stairs. Seems main security checkpoint was overloaded and they were directing people to use alternate at far end of A terminal. Had to walk to end of terminal where there was a mass of people queuing for 2 checkpoints. 45 minutes through then up to departures and back to the other end of the terminal to the gate. Very little to look at air side no food nor shopping this was mainly pre security as was duty free kiosk so could not get that stamped forfeiting the refund. Not the best experience.,2021-09-11,02:05:04,Niclas Dahlgren,hjohansson@carlsson.com,+46 (0)846 702 14
Under staffed and lacking facilities such as airline lounges. Excessive queueing untidy restaurants and cramped waiting areas. A complete contradiction to the rest our Cairns experience.,2021-09-11,07:09:48,Bo Jonsson,lissi40@wiek.com,+46 (0)174 484 31
I use both Edinburgh and London City airports regularly and I used to consider them my favourites. Due to the new security processes introduced at both (they are owned by the same company) I am now beginning to hate travelling through them. Whoever thought the new security arrangements were a good idea was wrong wrong wrong. It is longer less efficient more frustrating than ever. At Edinburgh in particular it really makes passenger feel like cattle being herded. Truly awful experience - they should revert back to the old system.,2021-09-20,11:31:17,Arhaan Barad,neelofarsrivastava@hotmail.com,+49 (0) 4382 651606
Don't expect too much of this little airport but it is friendly and the departures lounge has expanded recently. At one time the only facilities were the toilets once you were through the security but now there is a vending machine for soft drinks and chocolate etc. The restaurant (upstairs) has a good menu and they are fully aware of the flight times so you don't have to wait for hours for your meal. There is one small shop (outside the security check area) which doesn't help if you want to take those items through with you that are ordinarily banned. The security staff also apply an interesting interpretation on what is dangerous: we had a travel iron confiscated from our hand luggage as it could be used as a blunt instrument. On the way back we could have bought one at Stansted - presumably traveling from the UK we weren't likely to brain anyone with it.,2021-10-06,08:37:35,Mannat Shankar,ivig@kannan.com,02053379585
"Mactan-Cebu International Airport (CEB) is a much better entry point to the Philippines than Ninoy Aquino (unless your final destination is Manila of course). However despite the fact that Cebu is the second-largest city in the Philippines there is nothing overly impressive about its airport. I arrived at CEB on a domestic flight and was quite surprised how desolate the terminal was. This was in stark contrast to what was waiting just outside. For a flight of 60 or so people it seemed like the whole city of Cebu was waiting to greet us in the ""welcoming area"". I stuck out like a sore thumb being the only Cacuasian around but never once felt threatened by the smiling faces of Filipinos. I was immediately greeted by a sonata of sales pitches as taxi reps competed for my business. I gently waved them off since I was waiting to meet my friend. They were persistent but not obnoxious. The availability of transportation is not a problem at CEB but you will need to learn the art of negotiation to avoid being charged unfairly. Thankfully my friend is quite skilled in these matters and we never had to pay an elevated fare. A few weeks later I left from the international terminal at CEB for a flight to HKG. I don't remember much about my actual impressions of this terminal since I was contemplating a heartbreaking goodbye to my friend. However I do remember that the security line was not long at all and the entire process of getting my boarding pass and clearing customs took about 15 minutes max. The airport workers were quite friendly except of course for the customs official. CEB is a utilitarian airport and nothing more. It helps you get around the Philippines and S.E. Asia but luxurious it is not. It does however have a much more friendly feel than NAIA and Manila's domestic terminal.",2021-10-02,01:12:39,Roland Johansson,siya23@mallick.com,06703799286
The new terminal is clean and airy. It is still basic but fine enough for a small Asian airport. The security process was slow especially when they dealt with Caucasian-looking tourists. However the rest was amazing and there was a helpful tourist information which is quite visible within the security area. As expected most members of staff can only manage very simple English but they were quite helpful. The airport is a stone's throw away from town but walking is not quite possible due to government facilities with armed guards lining the way out from the airport. Taxis are cheap and most use the meter + 15000 dong for airport services.,2021-10-02,20:43:45,Ishaan Chadha,advik28@hotmail.com,0679-87 10 32
On returning from France on Easter Monday there was only one Long stay car park bus operating. It was overcrowded to the point of being illegal according to the allowed numbers printed inside the bus itself. It had to leave many people behind at the terminal and then drop off at all the long stay car parks making for a lengthy wait. On arrival at long stay 4 already delayed no cars were being allowed out of the exit without a telephone call to control and having to state your registration number a complete shambles. The bus and car park delay saw me exit the airport over an hour and 30 mins after the plane had landed and only with cabin baggage. Not a great experience.,2021-10-03,04:32:46,Elisabet Martinsson,xmalm@olsson.net,02612656589
Security is a nightmare at Dublin. Despite arriving in good time for our flight we spent an hour waiting to go through security. Only four of the security stations were in use despite the airport being mobbed. Consequently we had to rush the long haul to the Ryanair departure gate and only just managed to catch our flight.,2021-09-26,18:29:09,Per Johansson,henry18@swipnet.se,03398798254
Cairo airport must be the most awkward airport in the world. I have flown through all 3 terminals so I know it quite well. There is no point in referring to the appalling terminal 2 as it is no longer in operation. The quality of staff and security processes are the biggest issues in my opinion. Regarding the staff there seems to be a scam between airport officials and taxi drivers to hand you over to the drivers that will rip you off. If you can prearrange transport you will be able to avoid that. There are 2 members of staff at passport control. The first will look at your passport and put the visa sticker on it and the second one will stamp it. And they both sit side by side. You have to security scan your suitcases before you check-in which causes absolute chaos. The stories are endless about this airport. On the up it is a clean airport modern and spacious with good duty free and good dinning options. And I have to say I have seen some improvements over the last 2 years which shows that Egyptians are making an effort to improve it.,2021-10-10,14:20:06,Misha Madan,fmuehle@aol.de,09681 05574
Very long queues for check in immigration and security. The staff had no idea how to arrange the people. I actually felt unsafe because it felt as though there was going to be a crush there. This is the worst I have ever seen Dubai T1.,2021-10-02,10:22:04,Shanaya Ramanathan,nhenck@googlemail.com,+46 (0)18 23 53 02
Clean and modern just poorly designed. Depending on the gate you arrive at or depart from you may be in for a long walk. A good range of shops and restaurants in airside but very little around the check-ins. Excellent public transport connections to Kopenhagen and Malmo (Sweden),2021-09-26,03:39:09,Hedda Stolze,lisaksson@nilsson.net,+46 (0)882 808 83
Very long queues for security tonight in zone B in Brussels. At least a 400m queue to reach the scanners it started just after the passport check desks and it was slow moving. This did not seem to have any obvious cause. With the mega long walks you can have here a good reason to be prudent.,2021-09-17,12:07:59,Dipl.-Ing. Sibilla Gehringer B.Eng.,siegrun22@rosemann.de,+46 (0)8 878 320 98
I travelled through Edinburgh on BA and Flybe flights. There was little in the way of queues at check-in but the main problem was at security. The queues were long and there was only one archway open for two scanners. The main downside of Edinburgh is the attitude of the security staff. They are officious and sometimes nasty. I believed that my first experience was a one- off but on the second occasion I formed the opinion that these people are not managed properly and should have lessons in how to treat the customer. It's a great shame as Edinburgh is actually a very good regional airport.,2021-09-13,09:13:53,Tom Conradi,uthkarsh43@hotmail.com,+49(0)9371 659887
